,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.6626794338226318,0.5409375429153442,0.6626794338226318,0.5906543731689453
test_split_2,0.6722487807273865,0.5620823502540588,0.6722487807273865,0.604559063911438
test_split_3,0.6590909957885742,0.5472621917724609,0.6590909957885742,0.5895684361457825
test_split_4,0.6507177352905273,0.5323566198348999,0.6507177352905273,0.5763580203056335
test_split_5,0.6997607350349426,0.5818462371826172,0.6997607350349426,0.6275773644447327
test_split_6,0.65669846534729,0.5453433990478516,0.65669846534729,0.5895904302597046
test_split_7,0.6770334243774414,0.5431327223777771,0.6770334243774414,0.5977796316146851
test_split_8,0.6818181872367859,0.5584454536437988,0.6818181872367859,0.6100760698318481
test_split_9,0.6830143332481384,0.5701900124549866,0.6830143332481384,0.6153241395950317
test_split_10,0.6686602830886841,0.5454434156417847,0.6686602830886841,0.5928356051445007
